   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    26713    0.142    0.000    0.538    0.000 instructions.py:14(__init__)
      113    0.480    0.004    0.480    0.004 {method 'copy' of 'numpy.ndarray' objects}
     9850    0.016    0.000    0.458    0.000 instructions.py:137(descr)
   592153    0.405    0.000    0.458    0.000 {built-in method builtins.isinstance}
     9850    0.146    0.000    0.443    0.000 instructions.py:111(_descr)
       17    0.001    0.000    0.412    0.024 __init__.py:1(<module>)
    71/22    0.000    0.000    0.405    0.018 utils.py:280(__get__)
       80    0.003    0.000    0.404    0.005 arraypad.py:1094(pad)
    30394    0.077    0.000    0.402    0.000 values.py:203(__init__)
        6    0.000    0.000    0.396    0.066 __init__.py:3(<module>)
       10    0.000    0.000    0.385    0.038 compiler.py:391(stage_process_ir)
       10    0.000    0.000    0.385    0.038 compiler.py:846(ir_processing_stage)
        6    0.000    0.000    0.383    0.064 compiler.py:442(stage_nopython_frontend)
        6    0.000    0.000    0.383    0.064 compiler.py:861(type_inference_stage)
       16    0.000    0.000    0.371    0.023 postproc.py:53(deadmaps)
52943/10845    0.217    0.000    0.362    0.000 ir.py:100(_rec_list_vars)
     9518    0.014    0.000    0.338    0.000 ir.py:133(list_vars)
        4    0.000    0.000    0.336    0.084 typeinfer.py:830(propagate)
        8    0.006    0.001    0.335    0.042 typeinfer.py:125(propagate)
    13600    0.033    0.000    0.334    0.000 fromnumeric.py:50(_wrapfunc)
15536/13088    0.022    0.000    0.314    0.000 {built-in method builtins.next}
      126    0.001    0.000    0.311    0.002 objmode.py:375(lower_const)
      492    0.005    0.000    0.310    0.001 lowering.py:259(lower_inst)
    30529    0.054    0.000    0.305    0.000 values.py:223(_set_name)
       16    0.000    0.000    0.300    0.019 postproc.py:47(livemap)
    10119    0.047    0.000    0.293    0.000 builder.py:631(load)
        6    0.000    0.000    0.293    0.049 compiler.py:533(stage_inline_pass)
       40    0.000    0.000    0.291    0.007 objmode.py:205(lower_binop)
        5    0.000    0.000    0.284    0.057 codegen.py:119(_optimize_final_module)
6078/4854    0.009    0.000    0.271    0.000 contextlib.py:79(__enter__)
       80    0.260    0.003    0.260    0.003 layers.py:195(forward)
        6    0.260    0.043    0.260    0.043 {built-in method _pickle.load}
        5    0.000    0.000    0.252    0.050 passmanagers.py:94(run)
    30529    0.068    0.000    0.251    0.000 _utils.py:18(register)
       80    0.235    0.003    0.235    0.003 layers.py:199(backward)
       16    0.000    0.000    0.231    0.014 postproc.py:43(usedefs)
       16    0.020    0.001    0.231    0.014 analysis.py:21(compute_use_defs)
     6760    0.016    0.000    0.229    0.000 fromnumeric.py:943(argmax)
     1618    0.012    0.000    0.218    0.000 builder.py:186(if_then)
       16    0.037    0.002    0.217    0.014 postproc.py:173(_patch_var_dels)
    10119    0.022    0.000    0.207    0.000 instructions.py:386(__init__)
       30    0.000    0.000    0.207    0.007 objmode.py:242(<listcomp>)
      408    0.006    0.000    0.205    0.001 typeinfer.py:417(resolve)
       77    0.000    0.000    0.201    0.003 objmode.py:593(_freeze_string)
        4    0.000    0.000    0.197    0.049 lowering.py:218(create_cpython_wrapper)
        4    0.000    0.000    0.197    0.049 cpu.py:141(create_cpython_wrapper)
     6760    0.106    0.000    0.195    0.000 shape_base.py:844(tile)
     6800    0.188    0.000    0.188    0.000 {method 'argmax' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.188    0.188 __init__.py:106(<module>)
       16    0.000    0.000    0.183    0.011 objmode.py:383(lower_global)
      318    0.002    0.000    0.182    0.001 typeinfer.py:501(__call__)
    30357    0.093    0.000    0.163    0.000 _utils.py:26(deduplicate)
    11486    0.018    0.000    0.163    0.000 manager.py:35(__getitem__)
60748/60730    0.074    0.000    0.160    0.000 _utils.py:50(get_reference)
  478/468    0.003    0.000    0.158    0.000 context.py:176(resolve_function_type)
     9220    0.025    0.000    0.157    0.000 base.py:428(get_value_type)
      402    0.001    0.000    0.153    0.000 typeinfer.py:1080(resolve_call)
      198    0.001    0.000    0.152    0.001 lowering.py:401(lower_assign)
