   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      163    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      297    0.005    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
        1    0.000    0.000    0.023    0.023 _internal.py:6(<module>)
    13520    0.023    0.000    0.023    0.000 {built-in method numpy.core.multiarray.arange}
      320    0.004    0.000    0.021    0.000 arraypad.py:989(_normalize_shape)
    29160    0.020    0.000    0.020    0.000 shape_base.py:351(<genexpr>)
        1    0.000    0.000    0.019    0.019 decorators.py:5(<module>)
        1    0.000    0.000    0.018    0.018 decorators.py:15(<module>)
      131    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
        1    0.000    0.000    0.017    0.017 utils.py:4(<module>)
      160    0.002    0.000    0.017    0.000 arraypad.py:1049(_validate_lengths)
  326/324    0.008    0.000    0.017    0.000 {built-in method builtins.__build_class__}
      131    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
      125    0.000    0.000    0.016    0.000 re.py:286(_compile)
       19    0.000    0.000    0.015    0.001 re.py:231(compile)
       17    0.000    0.000    0.015    0.001 sre_compile.py:557(compile)
     6760    0.009    0.000    0.015    0.000 {built-in method builtins.all}
    13520    0.012    0.000    0.012    0.000 shape_base.py:925(<genexpr>)
     1543    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        1    0.000    0.000    0.011    0.011 case.py:1(<module>)
    13520    0.011    0.000    0.011    0.000 shape_base.py:915(<genexpr>)
        1    0.000    0.000    0.011    0.011 __init__.py:10(<module>)
      320    0.001    0.000    0.010    0.000 stride_tricks.py:135(broadcast_to)
        1    0.000    0.000    0.010    0.010 py3k.py:4(<module>)
       40    0.004    0.000    0.010    0.000 loss.py:19(__call__)
     1080    0.009    0.000    0.009    0.000 shape_base.py:359(<listcomp>)
      320    0.006    0.000    0.009    0.000 stride_tricks.py:115(_broadcast_to)
        1    0.000    0.000    0.009    0.009 numeric.py:1(<module>)
        1    0.000    0.000    0.008    0.008 pathlib.py:1(<module>)
      159    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.008    0.008 __init__.py:41(<module>)
       17    0.000    0.000    0.008    0.000 sre_compile.py:542(_code)
        1    0.000    0.000    0.008    0.008 result.py:1(<module>)
